latitude,longitude
51.46225,-0.11732
51.56802,-0.11121
51.48796,-0.16898
51.52098,-0.14002
51.47298,-0.16376
51.44687,-0.21874
51.57224,-0.20906
51.54168,-0.10207
51.48504,-0.18555
51.53484,0.02707
51.46507,-0.32421
51.52513,-0.11749
51.47934,-0.28066
51.58461,-0.1617
51.53972,-0.05885
51.46871,-0.06455
51.4194,-0.08722
51.49995,-0.02624
51.50687,-0.23328
51.50819,-0.23284
51.5873,-0.08606
51.47892,-0.0604
51.52589,-0.19942
51.5886,-0.08805
51.57375,-0.2089
51.61648,-0.25788
51.50205,-0.10015
51.55842,0.00382
51.49441,-0.20479
51.58611,-0.16272
51.50803,-0.21599
51.48172,-0.20957
51.53033,-0.21734
51.47483,-0.19303
51.47394,-0.19355
51.54061,-0.08463
51.55224,-0.19964
51.51737,-0.19576
51.56172,-0.10054
51.55029,-0.0519
51.5297,-0.14384
51.52121,-0.18517
51.49527,-0.22938
51.55225,-0.05547
51.51732,-0.19313
51.54957,-0.08808
51.47075,-0.12913
51.47246,-0.12727
51.37438,-0.1177
51.49588,-0.1544
51.39998,-0.10548
51.52294,-0.18421
51.4954,-0.31082
51.56471,-0.049
51.52126,-0.05696
51.52478,-0.06965
51.52053,-0.20968
51.53204,-0.06126
51.48624,-0.09624
51.45971,-0.12008
51.49404,-0.22738
51.496,-0.15422
51.60202,-0.26139
51.59016,-0.09427
51.52279,-0.13919
51.47435,-0.1544
51.59478,-0.14142
51.48064,-0.11439
51.46295,-0.112
51.4435,-0.19039
51.49389,-0.20418
51.53025,-0.07362
51.5425,-0.10211
51.52506,-0.1845
51.53519,-0.06398
51.57157,0.01088
51.46452,-0.0797
51.39711,-0.21342
51.43828,-0.01975
51.5187,-0.16726
51.4917,-0.16183
51.4533,-0.15646
51.49494,-0.12004
51.40092,-0.10452
51.53924,-0.10209
51.40692,-0.3345
51.54838,-0.16344
51.53585,-0.06178
51.52123,-0.14033
51.51163,-0.0668
51.4971,-0.23354
51.41642,-0.07645
51.52842,-0.11141
51.58519,0.15639
51.49089,-0.09879
51.46721,0.04371
51.5372,-0.19262
51.5587,-0.09234
51.48656,-0.10654
51.57552,-0.06052
51.58937,-0.12274
51.41944,-0.20749
51.48968,-0.11637
51.52123,-0.13954
51.51848,-0.18554
51.48699,-0.19826
51.52509,-0.1144
51.51106,-0.18922
51.44593,-0.20608
51.48209,0.07248
51.44749,-0.43186
51.50776,-0.12334
51.56822,-0.11266
51.41297,-0.11367
51.49798,-0.01325
51.5078,-0.1226
51.44762,-0.05716
51.51074,-0.19853
51.54273,-0.09948
51.55071,-0.08547
51.44004,-0.18755
51.41337,0.02665
51.41562,-0.19489
51.53901,-0.13596
51.46441,-0.12669
51.52687,-0.06347
51.51826,-0.19499
51.52807,-0.05133
51.43923,-0.10421
51.55786,-0.2263
51.57204,-0.08339
51.52099,-0.22852
51.42875,-0.12056
51.60796,-0.12551
51.46587,-0.23632
51.5139,-0.29568
51.57419,-0.13958
51.53454,0.02706
51.509,-0.19948
51.54126,-0.10228
51.5468,-0.10667
51.56485,-0.05612
51.52715,-0.05594
51.47828,-0.12944
51.54647,-0.05664
51.50615,-0.1078
51.53327,-0.03004
51.48815,-0.22315
51.58903,-0.01658
51.5296,-0.05364
51.52407,-0.10554
51.52116,-0.18359
51.52279,-0.17645
51.47259,-0.08872
51.56804,-0.11204
51.47561,-0.05988
51.61308,-0.11829
51.50067,-0.23288
51.51643,-0.12111
51.54926,-0.11551
51.52575,-0.19782
51.44715,-0.33925
51.52618,-0.06273
51.53323,-0.17848
51.48974,-0.11116
51.51173,-0.07659
51.52092,-0.14119
51.51411,-0.0412
51.55719,-0.12932
51.60155,-0.1886
51.52902,-0.08944
51.4803,0.0703
51.40269,-0.19177
51.53961,-0.0561
51.53058,-0.01203
51.50549,-0.33443
51.49166,-0.06371
51.48197,-0.17965
51.58462,-0.14677
51.48831,-0.13829
51.48795,-0.10001
51.54632,-0.07488
51.4865,-0.08778
51.48847,-0.22097
51.47013,-0.04266
51.46832,-0.10103
51.55269,-0.11961
51.55953,-0.12105
51.42254,-0.21679
51.51895,-0.21202
51.38918,-0.06793
51.51751,-0.19932
51.49086,-0.08715
51.49836,-0.02547
51.5614,-0.12198
51.4946,-0.19441
51.51691,-0.15862
51.54586,-0.18
51.52496,-0.18805
51.52851,-0.08572
51.53919,-0.24072
51.55037,-0.11407
51.46932,-0.15277
51.47305,-0.18358
51.44613,-0.1484
51.4375,-0.32165
51.55021,-0.08578
51.44686,-0.01571
51.48687,-0.09989
51.54139,-0.16028
51.49865,-0.10284
51.5422,-0.20218
51.49217,-0.04151
51.49146,-0.27072
51.53566,-0.06318
