lat,lng
43.64617,-79.42451
43.64105,-79.37628
43.66724,-79.41598
43.69602,-79.45468
43.6689,-79.32592
43.64151,-79.37643
43.63532,-79.44049
43.69458,-79.28681
43.74858,-79.29111
43.67185,-79.38583
43.67136,-79.38598
43.65972,-79.38172
43.67191,-79.38585
43.67105,-79.38481
43.66899,-79.38548
43.64296,-79.40451
43.64214,-79.37994
43.64527,-79.37615
43.65955,-79.36701
43.6444,-79.40829
43.65853,-79.42709
43.67094,-79.38581
43.65956,-79.43228
43.64171,-79.40469
43.64457,-79.40451
43.67033,-79.38612
43.69662,-79.45325
43.64458,-79.41022
43.63266,-79.35616
43.66527,-79.32934
43.67175,-79.40398
43.65623,-79.46667
43.64123,-79.39339
43.63559,-79.44048
43.68872,-79.3299
43.7037,-79.4082
43.63633,-79.40076
43.65781,-79.42065
43.65687,-79.37495
43.64776,-79.42709
43.64551,-79.39274
43.64835,-79.36302
43.64618,-79.48833
43.64366,-79.39155
43.67039,-79.38578
43.65557,-79.40019
43.76329,-79.41105
43.74098,-79.48724
43.78076,-79.24788
43.68683,-79.42274
43.67254,-79.30023
43.66932,-79.38525
43.64558,-79.44938
43.66597,-79.47388
43.64217,-79.42848
43.69447,-79.28794
43.63978,-79.50473
43.64589,-79.43464
43.6674,-79.38083
43.66168,-79.37937
43.66771,-79.37679
43.63479,-79.39957
43.66993,-79.38742
43.66823,-79.43594
43.65766,-79.33866
43.66763,-79.40683
43.68203,-79.45852
43.68304,-79.45868
43.68219,-79.45995
43.6549,-79.37104
43.65627,-79.37116
43.65096,-79.36759
43.65551,-79.37133
43.64047,-79.41491
43.6879,-79.35268
43.65653,-79.37127
43.68436,-79.40053
43.64248,-79.37502
43.66071,-79.38259
43.6605,-79.38057
43.66023,-79.40935
43.65831,-79.36885
43.65481,-79.39697
43.69143,-79.54384
43.77053,-79.41101
43.67093,-79.37298
43.64294,-79.41038
43.65504,-79.40017
43.657,-79.44806
43.64222,-79.37987
43.70926,-79.37707
43.65674,-79.44786
43.67728,-79.33585
43.657,-79.44784
43.66205,-79.4561
43.66712,-79.33678
43.64133,-79.42306
43.65474,-79.3745
43.64895,-79.388
43.66195,-79.41141
43.6354,-79.43854
43.77873,-79.41245
43.67113,-79.29839
43.71453,-79.40563
43.64341,-79.40046
43.64143,-79.43131
43.67423,-79.37028
43.6798,-79.34218
43.65432,-79.39847
43.64878,-79.38691
43.67144,-79.37685
43.66633,-79.42851
43.65765,-79.36281
43.64283,-79.44686
43.66238,-79.41034
43.6607,-79.40954
43.67149,-79.38611
43.72029,-79.33473
43.6642,-79.38465
43.76248,-79.40904
43.76095,-79.40969
43.64456,-79.39449
43.66859,-79.41411
43.65395,-79.43132
43.68499,-79.29131
43.6617,-79.37496
43.65646,-79.4031
43.63927,-79.43033
43.67711,-79.31048
43.66088,-79.38043
43.68698,-79.42234
43.67741,-79.31079
43.65475,-79.37934
43.66883,-79.38365
43.7063,-79.48768
43.64428,-79.40268
43.64353,-79.40154
43.68767,-79.44004
43.66736,-79.38013
43.67775,-79.42171
43.66444,-79.42534
43.75809,-79.31778
43.66697,-79.40509
43.65751,-79.37178
43.64887,-79.43202
43.66021,-79.43757
43.66585,-79.47556
43.65264,-79.411
43.75864,-79.31797
43.65875,-79.44551
43.64279,-79.43347
43.64262,-79.40315
43.65248,-79.40885
43.65899,-79.42474
43.65038,-79.41019
43.63931,-79.38174
43.66002,-79.37217
43.65931,-79.37258
43.66015,-79.37206
43.65852,-79.37165
43.65796,-79.37146
43.65823,-79.37213
43.66004,-79.37175
43.62575,-79.48815
43.65007,-79.42561
43.64147,-79.39269
43.66101,-79.42695
43.65239,-79.40902
43.65707,-79.41011
43.68181,-79.32462
43.66525,-79.38752
43.68617,-79.29311
43.67673,-79.42318
43.64317,-79.38044
43.65409,-79.38456
43.63803,-79.41904
43.66096,-79.34763
43.65354,-79.43508
43.67666,-79.31322
43.65759,-79.37072
43.65335,-79.39001
43.75321,-79.33166
43.66271,-79.42506
43.65958,-79.41257
43.64397,-79.40102
43.6704,-79.37574
43.70519,-79.24774
43.69032,-79.35236
43.67567,-79.3122
43.67638,-79.3102
43.67368,-79.46032
43.64372,-79.43283
43.63912,-79.43946
43.64271,-79.39244
43.63514,-79.42736
43.66203,-79.47818
43.63748,-79.40566
43.66792,-79.37955
43.78505,-79.20887
43.65805,-79.39601
43.65653,-79.36297
43.68524,-79.2911
43.67038,-79.40463
43.66675,-79.37549
43.7024,-79.39664
43.65806,-79.41356
43.68356,-79.38267
43.65047,-79.39239
43.74975,-79.54777
43.74979,-79.54896
43.65848,-79.45408
43.65369,-79.45178
43.65541,-79.45327
43.65541,-79.45289
43.64827,-79.36607
43.59771,-79.5248
43.76686,-79.38285
43.64446,-79.40268
43.59743,-79.52484
43.65098,-79.41023
43.63752,-79.41382
43.64111,-79.44661
43.71445,-79.36336
43.64015,-79.39331
43.66107,-79.44292
43.65394,-79.45248
43.65258,-79.38203
43.66389,-79.3705
43.6598,-79.37992
43.63757,-79.39253
43.70541,-79.39508
43.65018,-79.36801
43.68086,-79.30945
43.65649,-79.3715
43.65394,-79.44922
43.66237,-79.41412
43.77563,-79.34923
43.64046,-79.39496
43.67687,-79.38436
43.666,-79.46477
43.64503,-79.45254
43.66528,-79.47276
43.64044,-79.39541
43.66455,-79.38533
43.64071,-79.39318
43.67421,-79.3418
43.63989,-79.39035
43.68249,-79.4046
43.64142,-79.43952
43.64633,-79.39261
43.65854,-79.44323
43.66744,-79.42984
43.65217,-79.43591
43.65696,-79.42003
43.68885,-79.37839
43.68141,-79.3353
43.66101,-79.36323
43.65474,-79.42532
43.65132,-79.43274
43.66336,-79.34374
43.64422,-79.47561
43.66299,-79.41231
43.68536,-79.40745
43.68911,-79.41412
43.65243,-79.36779
43.78025,-79.32878
43.66732,-79.3802
43.7797,-79.32882
43.63711,-79.39728
43.65301,-79.37899
43.62393,-79.48803
43.65188,-79.4324
43.78345,-79.44525
43.6381,-79.41828
43.68016,-79.42653
43.66838,-79.31301
43.68241,-79.3525
43.80025,-79.33514
43.66342,-79.42836
43.65043,-79.39693
43.67223,-79.41294
43.67773,-79.36127
43.67514,-79.34263
43.63807,-79.44431
43.64352,-79.38145
43.67058,-79.34093
43.67302,-79.34111
43.64353,-79.38231
43.6779,-79.41008
43.6828,-79.32503
43.65747,-79.35645
43.72107,-79.33604
43.66491,-79.3355
43.65435,-79.37952
43.64585,-79.39164
43.65356,-79.43441
43.64651,-79.39433
43.64465,-79.3898
43.67985,-79.36058
43.66699,-79.33757
43.64587,-79.43386
43.64354,-79.39046
43.68509,-79.38388
43.68389,-79.42578
43.6453,-79.39092
43.62641,-79.47662
43.64919,-79.40623
43.7264,-79.3268
43.66723,-79.43208
43.64601,-79.40979
43.66951,-79.41674
43.65352,-79.41543
43.642,-79.39623
43.70676,-79.3819
43.68263,-79.29767
43.638,-79.41735
43.64441,-79.39311
43.68142,-79.30519
43.64374,-79.37916
43.76671,-79.40468
43.66542,-79.42109
43.68447,-79.4232
43.64422,-79.3897
43.64462,-79.40756
43.65521,-79.41654
43.65803,-79.43175
43.65234,-79.37901
43.7723,-79.41779
43.65785,-79.42024
43.6723,-79.44161
43.668,-79.31431
43.65543,-79.37106
43.64248,-79.4053
43.64156,-79.38024
43.76118,-79.40863
43.68157,-79.30515
43.68305,-79.43522
43.66419,-79.42354
43.65091,-79.43511
43.68226,-79.30685
43.65066,-79.43346
43.65801,-79.41931
43.67227,-79.4145
43.63662,-79.40539
43.65467,-79.39089
43.68961,-79.33502
43.66146,-79.40985
43.73293,-79.22099
43.64367,-79.44319
43.67153,-79.43931
43.67347,-79.40323
43.67635,-79.35515
43.67329,-79.28268
43.65728,-79.42626
43.64143,-79.39638
43.64866,-79.42446
43.6489,-79.42545
43.63753,-79.53539
43.66017,-79.36395
43.65425,-79.40399
43.65408,-79.40216
43.76599,-79.49932
43.66434,-79.34093
43.66305,-79.33233
43.64546,-79.44156
43.64211,-79.41044
43.64631,-79.3944
43.65623,-79.3986
43.72247,-79.40353
43.66514,-79.36964
43.66483,-79.38388
43.65351,-79.45461
43.65001,-79.38861
43.67084,-79.40564
43.64024,-79.39315
43.68857,-79.42486
43.6715,-79.38517
43.64815,-79.43502
43.64051,-79.42426
43.64114,-79.39519
43.68023,-79.42382
43.64781,-79.41748
43.6649,-79.37369
43.65733,-79.3701
43.67803,-79.36119
43.63809,-79.39833
43.66818,-79.38866
43.63639,-79.47013
43.63912,-79.38349
43.665,-79.42224
43.64314,-79.43236
43.66711,-79.46453
43.68827,-79.39991
43.67828,-79.3096
43.63531,-79.40055
43.68345,-79.29434
43.65098,-79.45784
43.69377,-79.43316
43.67239,-79.28712
43.67287,-79.28535
43.69982,-79.2946
43.77893,-79.32872
43.77994,-79.32829
43.67474,-79.31066
43.64779,-79.4159
43.64785,-79.39718
43.64245,-79.39315
43.68287,-79.30538
43.64115,-79.50691
43.65555,-79.40058
43.69011,-79.43685
43.65402,-79.44011
43.66089,-79.4067
43.6515,-79.43332
43.62209,-79.48805
43.59611,-79.52496
43.64722,-79.42677
43.67617,-79.45351
43.67003,-79.38175
43.68112,-79.33913
