restaurant_id,city_id,name,international_phone_number,formatted_address,latitude,longitude
1,1,Belfast Love Public House,14163632223,"548 King St W, Toronto, ON M5V 1M3, Canada",43.6448919,-79.398451
2,1,SPiN Toronto,14165997746,"461 King St W, Toronto, ON M5V 1K4, Canada",43.6444564,-79.3960911
3,1,Tropical Joe's,14164615030,"1000 Gerrard St E, Toronto, ON M4M 1Z3, Canada",43.6700658,-79.338837
4,1,Phipps Bakery Cafe,14164819111,"420 Eglinton Ave W, Toronto, ON M5N 1A2, Canada",43.7041778,-79.411118
5,1,Lee,14165047867,"601 King St W, Toronto, ON M5V 1M5, Canada",43.644133,-79.400392
6,1,Banaboia,14166540967,"501 Rogers Rd, York, ON M6M 1B4, Canada",43.6819438,-79.4681943
7,1,Trattoria Fieramosca,14163230636,"36 A Prince Arthur Ave, Toronto, ON M5R 1A9, Canada",43.6695406,-79.3973027
8,1,Dundas Street Grille,14162396244,"5238 Dundas St W, Etobicoke, ON M9B 1A9, Canada",43.638935,-79.53826
9,1,Royal Meats Barbeque,14162511144,"710 Kipling Ave, Etobicoke, ON M8Z 5G5, Canada",43.6254577,-79.5292541
10,1,Milestones,14165982800,"10 Dundas St E Unit # 400, Toronto, ON M5B 2G9, Canada",43.6567475,-79.3804815
11,1,St. Matthew's,14166584126,"527 Rogers Rd, York, ON M6M 1B4, Canada",43.6821096,-79.4690042
12,1,Purple Penguin Cafe,14164658448,"889 Queen St E, Toronto, ON M4M 1J4, Canada",43.660464,-79.34232
13,1,Genghis Khan Mongolian Grill,14164498228,"900 Don Mills Rd #2, North York, ON M3C 1V6, Canada",43.7269871,-79.3414943
14,1,Congee Star,14163858822,"900 Don Mills Rd, North York, ON M3C 1V6, Canada",43.7266998,-79.3419761
15,1,Memories of Japan,14164493773,"900 Don Mills Rd, North York, ON M3C 1V6, Canada",43.7272245,-79.3414984
16,1,Queen Margherita Pizza,14164666555,"1402 Queen St E, Toronto, ON M4L 1C9, Canada",43.6647558,-79.3242952
17,1,Red Rocket Coffee,14164060880,"1364 Danforth Ave, Toronto, ON M4J 1M9, Canada",43.6824521,-79.3284706
18,1,Wakame Sushi,14166310505,"638 Sheppard Ave W, North York, ON M3H 2S1, Canada",43.7554612,-79.4409696
19,1,Burger King,14166867191,"3003 Danforth Ave, East York, ON M4C 1M9, Canada",43.6908478,-79.2885366
20,1,Morgan's On The Danforth,14164613020,"1282 Danforth Ave, Toronto, ON M4J 1M6, Canada",43.682065,-79.330303
21,1,Dino's,14162590050,"820 The Queensway, Etobicoke, ON M8Z 1N5, Canada",43.6252431,-79.5082823
22,1,McDonald's,14165979502,"260 Yonge St Unit J-002, Toronto, ON M5B 2L9, Canada",43.654668,-79.3810305
23,1,Yuzu No Hana,14162059808,"236 Adelaide St W, Toronto, ON M5H 1W7, Canada",43.648418,-79.388343
24,1,R&D,14165861241,"241 Spadina Ave, Toronto, ON M5T 2E2, Canada",43.6515943,-79.3972048
25,1,241 Pizza,14162410241,"2155 Leanne Blvd, Mississauga, ON L5K 2K8, Canada",43.5262759,-79.6523223
26,1,Saffron Spice Kitchen,14162030222,"459 Queen St W, Toronto, ON M5V 2A9, Canada",43.6484033,-79.3972213
27,1,Athens Restaurant & Tavern,14164654441,"707 Danforth Ave, Toronto, ON M4J 1L2, Canada",43.6789643,-79.3434695
28,1,La Veranda Osteria,14162313800,"946 Royal York Rd, Etobicoke, ON M8X 2E5, Canada",43.6477149,-79.511729
29,1,Hunter's,14162916340,"2574 Birchmount Rd, Scarborough, ON M1T 2M5, Canada",43.7895721,-79.3026251
30,1,Luci Restaurant,14165191355,"664 The Queensway, Etobicoke, ON M8Y 1K7, Canada",43.6275231,-79.4982703
31,1,King's Café,14165911340,"192 Augusta Ave, Toronto, ON M5T 2L6, Canada",43.6542507,-79.402061
32,1,The Keg,14164844646,"2201 Yonge St, Toronto, ON M4S 2B2, Canada",43.7056863,-79.3978836
33,1,Scaddabush,14162969697,"580 Progress Ave, Scarborough, ON M1P 2K2, Canada",43.7776105,-79.254269
34,1,Cinamon Indian Bistro,14165194534,"1966 Queen St E, Toronto, ON M4L 1H8, Canada",43.6698051,-79.3018215
35,1,Udupi Palace,14164058189,"1460 Gerrard St E, Toronto, ON M4L 2A3, Canada",43.672609,-79.3211209
36,1,Little Sister,14164882031,"2031 Yonge St, Toronto, ON M4S 2A2, Canada",43.701568,-79.397075
37,1,Oakwood Pizzeria,14166545655,"434 Oakwood Ave, York, ON M6E 2W5, Canada",43.6891065,-79.4395821
38,1,Brass Taps Pizza Pub,14164663403,"493 Danforth Ave, Toronto, ON M4K 1P5, Canada",43.6779401,-79.3492847
39,1,Sarah's Cafe & Bar,14164063121,"1426 Danforth Ave, Toronto, ON M4J 1N4, Canada",43.6827511,-79.3270634
40,1,Mother's Dumplings,14162172008,"421 Spadina Ave, Toronto, ON M5T 2G6, Canada",43.6571221,-79.3994394
41,1,Firkin on Danforth,14166932057,"2057B Danforth Ave, Toronto, ON M4C 1J6, Canada",43.6853041,-79.3133181
42,1,Town Crier Pub,14162049588,"115 John St, Toronto, ON M5V 2E2, Canada",43.6480785,-79.3901097
43,1,Il Fornello,14164662931,"576 Danforth Ave, Toronto, ON M4K 1R1, Canada",43.6786716,-79.3469255
44,1,Papino's Pizza,14162400707,"1788 Jane St, York, ON M9N 2T2, Canada",43.706292,-79.5048866
45,1,The Frog,14162253764,"4854 Yonge St, North York, ON M2N 5N2, Canada",43.7627189,-79.4114814
46,1,Remezzo,14164988848,"3335 Sheppard Ave E, Scarborough, ON M1T 3K2, Canada",43.777628,-79.307905
47,1,Al Mandi,14164654224,"1328 Danforth Ave, Toronto, ON M4J 1M9, Canada",43.6823016,-79.3293744
48,1,Go For Tea,14162920221,"3700 Midland Ave Unit 113&115, Scarborough, ON M1V 0B3, Canada",43.8147922,-79.2926103
49,1,Broadview Espresso,14165533833,"817 Broadview Ave, Toronto, ON M4K 2P9, Canada",43.6784989,-79.3581831
50,1,Burrito Boyz,14165882699,"575 College St, Toronto, ON M6G 1B2, Canada",43.6551972,-79.4129987
51,1,Jerusalem Restaurant,14164907888,"4777 Leslie St, North York, ON M2J 2K8, Canada",43.7789576,-79.3640257
52,1,Pickle Barrel,14164851244,"2300 Yonge St, Toronto, ON M4P 1E4, Canada",43.7072274,-79.3989594
53,1,Sushi Supreme,14165440777,"1995 Yonge St, Toronto, ON M4S 1Z9, Canada",43.7006166,-79.3967618
54,1,Fishman Lobster Clubhouse,14163210250,"4020 Finch Ave E, Scarborough, ON M1S 3T6, Canada",43.802004,-79.2951529
55,1,Mariachi's,14164817111,"2084 Yonge St, Toronto, ON M4S 2A3, Canada",43.7021467,-79.3976395
56,1,Asa Sushi,14166043001,"18 Jane St, York, ON M6S 3Y2, Canada",43.6498103,-79.4848609
57,1,Boom Breakfast & Co,14164853447,"174 Eglinton Ave W, Toronto, ON M4R 1A7, Canada",43.7057989,-79.4035125
58,1,Mars Uptown Diner,14163227111,"2363 Yonge St, Toronto, ON M4P 2C8, Canada",43.709197,-79.3985702
59,1,Burrito Bandidos,14166918080,"1614 Queen St E, Toronto, ON M4L 1G3, Canada",43.666482,-79.316382
60,1,Portland Variety,14163685151,"587 King St W, Toronto, ON M5V 1M5, Canada",43.6442579,-79.4001473
61,1,Betty's,14163681300,"240 King St E, Toronto, ON M5A 1K1, Canada",43.6515176,-79.3675414
62,1,Motimahal,14164613111,"1422 Gerrard St E, Toronto, ON M4L 1Z6, Canada",43.672289,-79.3226295
63,1,Kimchi Korea House,14165991989,"149 Dundas St W, Toronto, ON M5G 1C5, Canada",43.6552472,-79.3855068
64,1,The Feathers,14166940443,"962 Kingston Rd, Toronto, ON M4E 1S7, Canada",43.6806855,-79.287543
65,1,Rodney's Oyster House,14163638105,"469 King St W, Toronto, ON M5V 1K4, Canada",43.6449473,-79.3968452
66,1,Maple Leaf Tavern,14164650955,"955 Gerrard St E, Toronto, ON M4M 1Z4, Canada",43.6681721,-79.3397865
67,1,Pizza La Rosa,14165517672,"2555 Victoria Park Ave #19, Scarborough, ON M1T 1A3, Canada",43.773213,-79.321159
68,1,Phoenix Restaurant,14165021112,"2900 Warden Ave Unit 105-106, Scarborough, ON M1W 2S8, Canada",43.7981051,-79.3184426
69,1,Pattaya Thai Kitchen,14166945000,"2326 Queen St E, Toronto, ON M4E 1G9, Canada",43.6738034,-79.2828152
70,1,Sichuan Garden,14165936265,"359 Spadina Ave, Toronto, ON M5T 2G3, Canada",43.6555915,-79.3988178
