site_id,ratings,text_reviews
ChIJ19HF1vpSV0ARhuyTtUxBggk,5,A great selection of beers! And the food is good too. Everything is well priced and the staff is super friendly! Ask for Chris he's great!
ChIJ19HF1vpSV0ARhuyTtUxBggk,5,"great beer on tap - some very very cool  European beers that you do not see many places. The food was good, and well priced. The patio is wonderful, all around a great place to grab a pint of three."
ChIJ19HF1vpSV0ARhuyTtUxBggk,4,"Very good selection of beers! We didn't eat there but the sausage looks so good!
I only put 4 because the service wasn't very good.. Super slow, wasn't taking care of us and there were almost nobody"
ChIJ19HF1vpSV0ARhuyTtUxBggk,5,"The food and the beer here is superb! All the schnitzels are huge portions! I love it! Staff is nice! The pretzel dip is also a large dish, great for sharing!"
ChIJ19HF1vpSV0ARhuyTtUxBggk,5,"When we visited Toronto luckly we found this place. A lot of beer choices in there I mean a lot so many very much choices from Germany, Austria, Belgium, Holland, Canada, France...etc friendly staff can help you to choose. You can sit outside or inside that a little bit noisy. The ambiance was classy and cozy. I definitely recommend this place."
ChIJ-e2VttE0K4gR9qSbe6Tct04,5,Superior food at an affordable price. Fast and friendly service. Neighborhood ambiance. What more can you desire?
ChIJ-e2VttE0K4gR9qSbe6Tct04,5,"This was by far one of the best culinary experiences of my life! The food was so beautiful, so fresh, and so delicious that it brought tears to my eyes! The friendly service was also beyond this world! I’ve never had such an amazing experience at a restaurant in Toronto! It was so good that they deserve a few Michelin stars...
Jason, Eugene, and Bruce, thank you for such an incredible experience! I’ll be back and I’ll bring all of my friends too!"
ChIJ-e2VttE0K4gR9qSbe6Tct04,5,We had fresh and delicious omakase sushi here as well as some excellent and beautifully prepared  sashimi. Traditional style. Exactly what we were looking for. Will come again next time in Toronto!
ChIJ-e2VttE0K4gR9qSbe6Tct04,5,A truly unique and intimate setting at Yuzu. The sushi and sashimi were elegantly plated with artistic touches. The fish tasted fresh and vibrant. I would recommend sitting at the counter to watch the masters working. Can’t wait to come back for the Omakase.
ChIJ-e2VttE0K4gR9qSbe6Tct04,5,Best Sushi in the downtown core. Quality and variety are the best available.
ChIJ0zE_DsE0K4gR8rEk8B9DNg4,4,"No A/C so it's very humid, cash only. Great dumplings at reasonable prices. Predominantly boiled and steamed, only three fried dumpling options, so if you prefer fried ones you're better off going to Dumpling House down the road. Cute little library to borrow from at the front. The smoothie was nearly $5 for a pretty standard powdered mango milk smoothie, a little disappointing for the price, but the food and service was great."
ChIJ0zE_DsE0K4gR8rEk8B9DNg4,5,"My wife and I ate lunch at Mother Dumplings. I saw the ratings online and it lived up to everything we read. The beef with broccoli was amazing, the beef and chives dumplings were so delicious, and our pork soup with noodles were to die for. When you sit down, they provide you with tea. The wait staff was great. We live in the states, but will definitely go back every time we come back to Toronto."
ChIJ0zE_DsE0K4gR8rEk8B9DNg4,5,"Whoa. Whoa. Whoa. Best Chinese food I've ever had! Seriously. It absolutely lived up to its hype. The dumplings were out of this world. My beef and broccoli were so, so tasty. I also had a crispy pancake. Yum. I want to keep going back."
ChIJ0zE_DsE0K4gR8rEk8B9DNg4,5,"Great little hole in the wall. They take cash only, so come prepared. 3 types of dumplings and a potato pancake was around $20. Perfect as a little snack to share with two people. 

I didn't get much of a chance to check over the menu, but I could see from the other patrons, that the food was plentiful and probably cheap.

Definitively will be checking this place out again."
ChIJ0zE_DsE0K4gR8rEk8B9DNg4,5,"My favorite restaurant in Toronto so far. Really good dumplings at a good price. Decent service, not great, but better than most of the restaurants I went to in Toronto.  Would definitely recommend and would go back if I had more time"
ChIJr9ikgg0tK4gR5gOLzpbB7Po,5,Really good food! The salmon was flavourful and the cream sauce was delicious. The wasabi raw octopus was really tasty. It came with some seaweed as well. The salmon dish came with a side of radishes. There was only one waitress serving so I felt a bit bad.
ChIJr9ikgg0tK4gR5gOLzpbB7Po,4,"Food - portion size is very small. The food is tapas style. Everything has such a punch of unique flavours. The potato cream curry udon is so unique! Must try. Their sashimi is amazing. The dishes are plated to beautifully!
Service - the food comes out SUPER quick! Waitresses are really nice too. 
Price - $83 for 6 dishes 
You really need to pay $30-40 per person to be full. 
The only thing holding me back from rating 5/5 stars is the price. Hard to justify."
ChIJr9ikgg0tK4gR5gOLzpbB7Po,4,Great food but the portions are a bit too small. I ordered the seafood yaki udon and they forgot to put mussels in my plate. Atmosphere and decor is quite nice and aesthetic.
ChIJr9ikgg0tK4gR5gOLzpbB7Po,5,"Love this place! Mostly udon but they do it in different styles, Japanese, Korean, Western. I’ve been getting the Salmon cream sauce, it’s really good and comes with a piece of cooked salmon. But usually gets a little rich towards the end. The Koroke is really good too! Service is also quite good, really like the vibe there, great spot for dates!"
ChIJr9ikgg0tK4gR5gOLzpbB7Po,4,"Great place for drinks and miscellaneous noodle dishes.  
Good service."
ChIJtSVPFTQyK4gR2m1Ga46fGvU,4,"It's nice, with industrialized decor outside Yorkdale. Had the pasta and burger. It's 'good' but after considering costs it becomes more 'okay'.

The Crispy Polenta Side was by far the star of our meal. When the side is better than the main dishes, it speaks to how the mains need to innovate a bit more as it felt not much different than pickle barrel."
ChIJtSVPFTQyK4gR2m1Ga46fGvU,4,Went here for my birthday. The pasta was average. Not bad but could be better. The ambiance is nice especially after a tiring round of shopping in Yorkdale Shopping Centre since it's within the mall. Their drink menu is better than their food which is nice. Our server was very polite and attentive as well. I would go back!
ChIJtSVPFTQyK4gR2m1Ga46fGvU,5,"This is a fantastic spot to have a meal if you are at Yorkdale. Spacious and you can make reservations. It is accessible with a handicap bathroom on the first floor which is great. Also they do a great job for food sensitivities, I've brought friends here who cannot have gluten or nuts. It's always been easy to accommodate groups here. I like the salads but the pizza and pasta are popular. This place is great if you are at the mall."
ChIJtSVPFTQyK4gR2m1Ga46fGvU,5,"I have been here several times and each time never been disappointed with the quality of food and service. 

All the staff I have encountered have been patient, kind and charismatic. And not the awkward kind of charisma! They are always informative whenever I or friends/family that I take with me have questions.

I can tell the food is cooked to a high standard and the setting of each plate really adds to the initial wow feeling you get when you receive your food.

I would definitely recommend this place whether you are looking for a longer sit down experience or even just a quick drop in and out."
ChIJtSVPFTQyK4gR2m1Ga46fGvU,5,The food is epic. We loved everything we ate. Great service and nice atmosphere. Server had British accent which was lovely. Wow mind blowing food and desserts.
ChIJ8Su7-ME0K4gRK_OfqwTtE-4,5,"I tried their Al Pastor tacos and they were very delicious, nice contrast of flavour. The hot and mild sauces complimented the tacos very well. The lady there was very friendly and welcoming, as well as the waitress and cook. I would definitely come back, I like the family atmosphere in the restaurant. I also like the Buddha statue they have on top of the fridge."
ChIJ8Su7-ME0K4gRK_OfqwTtE-4,2,"I'm curious to know how low the other reviewers' standards are to solicit 4 and 5 star rating for this place. The guacamole was synthetic and this weird neon green, the tacos were bland and sad, and I could smell the washroom that's in the basement from the main floor dining area. My partner's whose favourite is Mexican, said this is the worst Mexican place he's ever been to."
ChIJ8Su7-ME0K4gRK_OfqwTtE-4,5,The tacos are pretty good. I heard my Mexican boyfriend say its authentic. They have the best guacamole in my life.
ChIJ8Su7-ME0K4gRK_OfqwTtE-4,4,"The food is delicious. Tacos taste very good. You get 5 tacos per dish that aren't big in size. Price is the avg price for a meal in Toronto. However, 5 tacos aren't enough and you need at least a few more. Friendly staff and clean place. Serves some tasty drinks as well."
ChIJ8Su7-ME0K4gRK_OfqwTtE-4,4,This is a really authentic mexican place. The food is amazing and the service is good. One thing i always notice at a place when i go in groups is how hassle free individual payments is. The payment software here seemed really intuitive and fast. We paid with ease without having to spend too much time pointing out what we ate. I will definitely go back here
