name,place_id,rating_place,price_level,user_ratings_total,lat_place,lng_place
Swiss Chalet Rotisserie & Grill,ChIJterOLRw0K4gRCEJ_2S32iwM,4.0,2,562,43.67157599999999,-79.467451
Leela Indian Food Bar,ChIJsXBBCZ82K4gRCxgh9sMEi1g,4.7,2,776,43.6656214,-79.4734771
Grillway Souvlaki House,ChIJJzNgJYg2K4gRKLM61Mj41sc,4.9,0,203,43.6496419,-79.4837434
Thai Lime Restaurant,ChIJg7AN9xU0K4gRnkW58DFL-Q4,4.2,1,225,43.66514,-79.45266560000002
Mana Pool - Board Game Bistro,ChIJbRA8-IE2K4gRch6_xalGGjU,4.9,2,80,43.6526222,-79.4710037
Kenkou Sushi,ChIJm_DsC4g2K4gRir7ZI6iPdRk,4.6,0,134,43.65001059999999,-79.4819784
Playa Cabana Cantina,ChIJafgM7SE0K4gRtzAf-AeWcmo,4.2,2,665,43.6653337,-79.4655684
Queen's Pasta,ChIJGUxoAoc2K4gRK8Gp3Xs8NJw,4.3,2,401,43.65064599999999,-79.47793
Awai,ChIJ__-jCIc2K4gRvV4kujQuBkc,4.5,3,291,43.65041069999999,-79.47854
A&W Canada,ChIJGd0T9iE0K4gRhYFYKv6H2s0,4.3,1,767,43.66552,-79.464731
Bairrada Churrasqueira Grill,ChIJHYP1sqM2K4gRR6NEFe_h3NY,4.2,2,325,43.6699451,-79.47810059999999
Souvlaki Hut Bloor West,ChIJAfIkPoE2K4gRsTeOH5B_Yf8,4.1,0,121,43.651694,-79.474593
Vesuvio Pizzeria & Spaghetti House,ChIJ2X_IciA0K4gRh-sWjIGKOjU,4.3,2,842,43.6657614,-79.46977129999999
Bukhara Grill,ChIJGRVOJ4c2K4gRFd8pTJ-tqys,4.2,2,236,43.6508247,-79.4769685
Annette Food Market,ChIJE-wTD542K4gRcb5h53Hu5QY,4.6,2,207,43.662595,-79.4711334
The Beet Organic Kitchen & Bar,ChIJXWQ7tCE0K4gRvxrIspwfbq4,4.0,2,358,43.665671,-79.468316
Boland's Open Kitchen & Wine Bar,ChIJB77tEDEzK4gRaIufKs5_4Q0,4.3,2,76,43.7034604,-79.3879812
sophies dine-in and takeout,ChIJ4clCdfszK4gRHp8DB4xIRps,4.5,0,2,43.7048569,-79.40822639999999
Swiss Chalet Rotisserie & Grill,ChIJrxjwH0MzK4gRZMrBMNu9tzE,3.8,2,146,43.6895908,-79.3949315
Kamasutra Fine Indian Restaurant & Banquets,ChIJZ7Pmdc7M1IkRIF5FQSri5b0,4.2,2,259,43.703998,-79.374837
The Pickle Barrel,ChIJ27uwtzwzK4gRDJYj-bT4Ez8,3.5,2,604,43.7072274,-79.3989594
Harvey's,ChIJpYSl4UQzK4gRuwEl16KFHKw,3.9,1,114,43.6896236,-79.3943759
Swiss Chalet Rotisserie & Grill,ChIJX50sTjszK4gRlH7PVsTg0Fk,3.5,2,80,43.706892,-79.39644299999999
Flor de Sal Restaurant,ChIJP1v4X540K4gRtgwxJDmna-U,4.5,3,106,43.677598,-79.407044
Terroni,ChIJi8aZ9VozK4gR3TFH7VvtPhs,4.2,3,1415,43.6800258,-79.3903954
Chacho's,ChIJjZnfzTczK4gRYQnFm-eKV5E,4.1,2,200,43.697759,-79.38914969999999
The Mt Pleasant Rose,ChIJm2tGyyYzK4gRT9YEFHnm654,4.1,0,36,43.7071748,-79.3900135
The Chef Upstairs,ChIJycWyzDYzK4gR7Qo1s_nG714,4.1,0,22,43.7018753,-79.38787490000001
Sorrel,ChIJh5mggK80K4gRoaWolgbJqXc,4.6,3,109,43.6802187,-79.39108490000001
Pizza Banfi,ChIJS38pPmUzK4gRlzh441e1H8o,4.6,2,78,43.6884691,-79.4130959
BlueBlood Steakhouse,ChIJneA-zJ00K4gRKeEMvTOPwsg,4.3,4,416,43.6781259,-79.4095553
Swiss Chalet Rotisserie & Grill,ChIJ64iNI1s0K4gR0LSOmnCPzoE,3.8,2,426,43.6549531,-79.433858
Harvey's,ChIJB8GLWAE1K4gRyOzqAEdaXjc,4.1,1,335,43.63996270000001,-79.4188483
Top Gun Burger,ChIJi269Z8I0K4gRYi4TsdYXKgU,4.4,2,1868,43.6550342,-79.4019624
Chiado & Senior Antonio Tapas & Wine Bar,ChIJh__h6vc0K4gR8lc4e6LYP0w,4.6,4,337,43.6541644,-79.4242526
Terroni,ChIJezJp5eM0K4gR1wTbPFAdVKI,4.3,2,1373,43.6462904,-79.4092065
Faculty Club - University Of Toronto,ChIJAeWom780K4gRhKX-Db_5ofY,4.3,3,97,43.66112280000001,-79.400542
Oretta,ChIJPbMgNd40K4gR0He0-hNvRoU,4.2,3,1149,43.6439175,-79.40162889999999
Pero Restaurant & Lounge,ChIJC7LF1Yo0K4gRWHLmrgAKEFw,4.4,2,188,43.6627568,-79.42265139999999
Via Norte Restaurant,ChIJPwdOGlg0K4gRGIUDRWq880c,4.3,3,115,43.6537402,-79.4262129
First Choice Restaurant,ChIJIbs3ZPk0K4gRM8Xeb0dI3J4,4.3,2,37,43.6495868,-79.4202553
Loga's Corner,ChIJ52rO-q01K4gR0KlVzQq5HdY,4.8,1,819,43.6404047,-79.4359593
Buca,ChIJt19nWN40K4gR2dyRhKq_zus,4.4,4,744,43.6448329,-79.4007353
