name,id,phone,reservations,price_range,review,rating,y_phone_key,g_phone_key,y_id_no,y_name,y_rating,y_review,y_price_range,y_reservations,y_category,g_place_id,g_name,g_rating,lat,lng,g_price_range
26 Beach Restaurant,16806842,3108237526,0,3,131,4.5,13108237526,%2B13108237526,Lo6xNbL1SDd8JIqTNLGtlQ,26 Beach Restaurant,4,2956,$$,0,American (New),ChIJrw0vQI66woAR3HBe9Gq3Ls4,26 Beach,4.5,33.989618,-118.4499345,2
800 Degrees Neapolitan Pizzeria,16835051,3104431911,0,2,131,4.6,13104431911,%2B13104431911,jGuzp8hsKy27ZmK1jsvgYw,800 Degrees Woodfired Kitchen,3.5,2317,$$,0,Pizza,ChIJIeO464G8woAR9bAjkU0sCIw,800 Degrees Woodfired Kitchen Westwood,4.4,34.0598804,-118.4443646,1
94th Aero Squadron,16832614,8189947437,0,2,43,4.1,18189947437,%2B18189947437,NDO2PnVLkn_jj-pZVzdNLw,94th Aero Squadron,3.5,672,$$,0,Steakhouses,ChIJDUOnFQeawoARjmIr026FDvs,94th Aero Squadron Restaurant,4.4,34.2179239,-118.4888899,2
A Votre Sante,16806919,3104511813,0,2,39,3.9,13104511813,%2B13104511813,UacptELKUlJKapvtg5w7hw,A Votre Sante,4,394,$$,0,American (New),ChIJ2QqQvlWjwoARajBu-Nxb96g,A Votre Santé,4.3,34.048434,-118.490369,2
Abbot's Pizza Company,16806938,3103967334,0,2,139,4.4,13103967334,%2B13103967334,bNT72xV3GPj9Dk1SC1UcgA,Abbot's Pizza Company,3.5,980,$,0,Pizza,ChIJcaqDn7-6woARNn2eauKOKSc,Abbot's Pizza Company,4.3,33.9907031,-118.4656865,1
Adagio Ristorante,16806990,8182250533,0,3,24,4.1,18182250533,%2B18182250533,lUIUejdfQjo1xs133dSe9Q,Adagio Ristorante,4.5,333,$$,0,Italian,ChIJpwTdbYiewoARhg2H-_g-7sA,Adagio Ristorante,4.6,34.1658592,-118.6247579,2
Ago,16807012,3236556333,0,4,63,4,13236556333,%2B13236556333,LQE9KdZvQNWrppp8fsSBCQ,Ago Restaurant,3.5,603,$$$,delivery,Italian,ChIJV3P9SrG-woARRmk0a6U7sNE,AGO Restaurant,4.2,34.0821725,-118.3756588,3
Ahi Sushi,16807018,8189810277,0,3,24,3.8,18189810277,%2B18189810277,nUbauelzQusc7lgwnMJBnA,Ahi Sushi,4,429,$$,0,Sushi Bars,ChIJXwN8HfW9woAR-BexUYnHtAE,Ahi Sushi,4.5,34.1453788,-118.4143517,2
Akbar Cuisine of India,16807034,3105740666,0,2,44,4.1,13105740666,%2B13105740666,m6zAbW3dUEmPjj7cZaFTjQ,Akbar Cuisine of India,3.5,372,$$,0,Indian,ChIJg6ExQ466woARJ5nayZ7F2k8,Akbar,4,33.9895382,-118.4492456,2
Alejo's,16807084,3106706677,0,2,56,4.3,13106706677,%2B13106706677,l3up2TnMyR7-HyNPWsUmMg,Alejos Presto Trattoria Italian Restaurant,4,582,$$,0,Italian,ChIJgxXXSOuwwoARbq5fG-zf_HI,Alejo's Presto Trattoria Italian Restaurant,4.4,33.9616504,-118.421098,2
Aliki's Greek Taverna,16807115,3106459555,0,2,74,4.3,13106459555,%2B13106459555,Pk1m_Wnhw3wgD-GIuGfTxA,Aliki's Greek Taverna,4.5,984,$$,0,Greek,ChIJh-JIuym3woARc2H7THru5vM,Aliki's Greek Taverna,4.6,33.9525041,-118.385246,1
Amandine Patissiere,16807166,3109793211,0,3,47,4,13109793211,%2B13109793211,7KbwC9uSMhrAvjT30qgCNQ,Amandine Patisserie Cafe - Brentwood,4,1404,$$,0,Bakeries,ChIJH0BZp1y7woARyDD-A-ClEog,Amandine Patisserie Cafe,4.3,34.043245,-118.468933,2
Anarbagh,16807248,8182243929,0,2,76,4.2,18182243929,%2B18182243929,RqRMzq-IuPofVNv1DoRfsA,Anarbagh Indian Cuisine,4.5,1378,$$,0,Indian,ChIJ3dKxpYiewoARjZ5AwhTnoI4,Anarbagh Restaurant,4.3,34.166824,-118.6215145,2
Angelini Osteria,16807294,3232970070,0,3,130,4.3,13232970070,%2B13232970070,Ka20gH4dovOOZVZxOWLewA,Angelini Alimentari,4.5,66,$$,0,Breakfast & Brunch,ChIJIw18dSm5woARA1m3GjDhyR8,Angelini Osteria,4.6,34.0763166,-118.3491446,3
Trois Mec,16836350,3237829225,0,4,37,3.8,13237829225,%2B13237829225,BAnC30_CaFiBOd6Fv9KgBg,Animal,4,3304,$$$,0,American (New),ChIJyYZtMjO5woARkFJwAY2_cgk,Animal,4.4,34.0792295,-118.3617722,3
Animal,16825758,3237829225,0,3,300,4.8,13237829225,%2B13237829225,BAnC30_CaFiBOd6Fv9KgBg,Animal,4,3304,$$$,0,American (New),ChIJyYZtMjO5woARkFJwAY2_cgk,Animal,4.4,34.0792295,-118.3617722,3
Antonio's Pizzeria & Italian Restaurant,16807358,8187881103,0,2,30,3.9,18187881103,%2B18187881103,ZkDjYWeUfku8JGYhWwemEA,Antonio's Pizzeria & Italian Restaurant,4,473,$$,0,Pizza,ChIJBxKY3CiWwoARBGzvOjmqeio,Antonio's Pizzeria and Italian Restaurant,4.3,34.1480987,-118.4302561,2
Attari Grill,16807545,3104464660,0,1,30,3.9,13104464660,%2B13104464660,,,,,,,,ChIJCZBdiba7woARasSXxB69ZBM,Attari grill,5,34.0555937,-118.4414324,0
Ayara Thai Cuisine,16807578,3104108848,0,2,85,4.4,13104108848,%2B13104108848,cAnHOEuT0MkiribpjnFVRg,Ayara Thai Cuisine,4,1927,$$,0,Thai,ChIJtXVoYM2wwoARJTEciXGSZ5s,Ayara Thai Cuisine,4.4,33.958731,-118.394539,2
Bäco Mercat,16834894,2136878808,0,2,100,4.4,12136878808,%2B12136878808,xLN_-pgHhbaM8uazk_Uv7A,Bäco Mercat,4,2520,$$,0,Mediterranean,ChIJs7ogGErGwoARmn4fNJG84mA,Bäco Mercat,4.5,34.0477996,-118.2472928,2
Baby Blues BBQ,16807622,3103967675,0,3,250,4.5,13103967675,%2B13103967675,u4ZOxRTE-9N9i-7iR8A4ig,Baby Blues BBQ -Venice,4,2363,$$,0,Barbeque,ChIJPWFT-8K6woARjRsbFLVvtXM,Baby Blues BBQ - Venice,4.4,34.0003891,-118.4653553,2
Badmaash,16836472,2132217466,0,2,39,3.7,12132217466,%2B12132217466,EB-RtApkwptE3wRCQO8bCw,Badmaash - Downtown LA,4,1681,$$,0,Indian,ChIJq0IHewzHwoARYMG4rYVPFlY,BADMAASH Downtown LA,4.2,34.0511033,-118.2448571,2
Baja Cantina,16807682,3108212252,0,2,67,4,13108212252,%2B13108212252,W6FMTgZkMdq2o4q9kT4PBA,Baja Cantina,3.5,753,$$,pickup,Mexican,ChIJBym2lKK6woARa6L3E6wYRaY,Baja Cantina,4.2,33.980789,-118.464577,2
Bamboo Inn,16807789,8187880202,0,2,31,4,18187880202,%2B18187880202,l83hamkeoIpcqUiuWD1XNA,Bamboo Cuisine,3.5,677,$$,0,Chinese,ChIJG3RH7CyWwoARxi49_mUQCPQ,Bamboo Cuisine,4.3,34.148952,-118.4376883,2
Barbara's at the Brewery,16807827,3232219204,0,2,11,3.7,13232219204,%2B13232219204,_3EABGY-Zo_GTO6mR6Sstg,Barbara West Catering,4,79,$$,0,Caterers,ChIJTZy7TWXGwoAR8SuFlL6FUog,Barbara's At the Brewery,4.4,34.0646068,-118.2180392,2
Barney's Beanery,16833462,3104437777,0,2,21,3.8,13104437777,%2B13104437777,t0Jua5Oo9247QorSQ1WzPw,Barney's Beanery,3,571,$$,0,Breakfast & Brunch,ChIJ9bElwYO8woARyFBerBC6aRs,Barney's Beanery,4.1,34.0617022,-118.446657,2
Barney's Gourmet Hamburger,16807855,3104476000,0,2,21,3.8,13104476000,%2B13104476000,yNaW8845RpdmURbIRBXiFw,Barney's Gourmet Hamburgers,4,395,$$,0,American (Traditional),ChIJe2cf9l-7woARdTc_cBRnFXM,Barney's Gourmet Hamburgers,4.6,34.0536931,-118.4639889,0
Barrique,16831971,3103999010,0,3,40,4.1,13103999010,%2B13103999010,nCmpPvkZ9Ow9MRghgGQfVw,Barrique,4.5,433,$$$,restaurant_reservation,Wine Bars,ChIJDZhLJ8a6woARChFCedB2_l4,Barrique,4.6,33.9931638,-118.4746842,3
BCD Tofu House,16831370,2133803807,0,1,27,4.1,12133803807,%2B12133803807,ICESq75YqeUYBO6bOPMjmg,BCD Tofu House,3.5,844,$$,0,Korean,ChIJKUhncoa4woAR9rCHOP9SZg0,BCD Tofu House,4,34.056088,-118.3094984,2
Bella Pita,16825445,3102091050,0,1,28,4.1,13102091050,%2B13102091050,cvER4PVKn_lYqlyWhP5rmg,Bella Pita,4,772,$,0,Middle Eastern,ChIJz5S_gIO8woAR0u4D5YAyVLU,Bella Pita UCLA,4.4,34.0627929,-118.448087,1
Belwood Bakery,16808046,3104716855,0,1,20,4,13104716855,%2B13104716855,Zzueg_h1VFtr-y0bGGBKCw,Belwood Bakery Cafe,4.5,363,$,pickup,Bakeries,ChIJs-UQgru8woAR7PQx3VIeMZA,Belwood Bakery,4.5,34.0652507,-118.4694895,1
Benny's Tacos & Chicken Rotisserie,16833477,3106708226,0,1,20,3.8,13106708226,%2B13106708226,uA3TautyZ7bby0w8Scwufg,Benny's Tacos & Chicken Rotisserie,4.5,1770,$,0,Mexican,ChIJZQJ-euqwwoART2CRVEDpDJ0,Bennys Tacos & Chicken Rotisserie LA,4.4,33.9599966,-118.4168807,1
Bestia,16835804,2135145724,0,3,80,4.8,12135145724,%2B12135145724,fEY0zHaDMfIW3-N__joDKQ,Bestia,4.5,5748,$$$,0,Italian,ChIJSRvZ1yHGwoARcLrfvc-APl4,Bestia,4.6,34.0338216,-118.2293285,2
Beverly Soon Tofu House,16808132,2133801113,0,1,35,4.1,12133801113,%2B12133801113,_QatjYmVjepKoE2gHbSAwA,Beverly Soon Tofu Restaurant,4,1428,$$,0,Korean,ChIJZTNyyYPHwoAR3QCUCZ05oIc,Beverly Soon Tofu Restaurant,4.5,34.0530653,-118.2925432,0
Big Wangs,16834484,8189852449,0,2,14,3.4,18189852449,%2B18189852449,qoynFHUeHcunkBrDjzLn3A,Big Wangs,2.5,1044,$$,0,Sports Bars,ChIJ23DJJTq_woARFBOBuX8iijo,Big Wangs,3.9,34.167536,-118.3760252,2
Bistro Garden at Coldwater,16808273,8185010202,0,3,24,3.9,18185010202,%2B18185010202,OglE7eLW8wds5eYgl7fgHQ,Bistro Garden at Coldwater,3.5,209,$$$,0,French,ChIJ1yKO3_S9woARRR5h9CVjXH4,Bistro Garden at Coldwater,4.4,34.1449955,-118.4152298,3
Bistro Ka,16825838,8183401300,0,2,14,3.5,18183401300,%2B18183401300,c2oMIvL5JZnFiHmT5qjcuw,Bistro Ka Japanese Restaurant,3.5,637,$$,0,Japanese,ChIJc6DU6yKcwoAR7WXcAcyCC4E,Bistro Ka Japanese Restaurant,3.9,34.190969,-118.6024213,2
BJ's Restaurant & Brewhouse,16808289,8183401748,0,2,70,4.2,18183401748,%2B18183401748,4NJ_ABoVlKPvOKHptOSsJg,BJ's Restaurant & Brewhouse,3,1013,$$,delivery,Pizza,ChIJLzvVIBycwoARiYuMgKh4RtY,BJ's Restaurant & Brewhouse,4.1,34.1873076,-118.5968035,2
Blossom,16808317,2136231973,0,1,55,4.1,12136231973,%2B12136231973,yNBlfI0twfw2-r8Chsgdfg,Blossom Restaurant,3.5,1066,$$,0,Vietnamese,ChIJRUfWEErGwoARxpBskZnobW8,Blossom Vietnamese restaurant,4.3,34.0473594,-118.247748,2
Blu Jam Cafe,16808869,8189061955,0,2,27,4,18189061955,%2B18189061955,RPvKo_1oNFkjB_Mc8bRdaA,Blu Jam Cafe,4,2037,$$,0,Breakfast & Brunch,ChIJjxDmu8GXwoARq2hb4Attww8,Blu Jam Cafe,4.5,34.1531465,-118.4612204,2
Blu Jam Cafe,16808344,3239519191,0,2,89,4.4,13239519191,%2B13239519191,ki5SNb4Lli6uOklz6BXXGw,Blu Jam Café,4,4945,$$,0,American (New),ChIJo0oq69S-woARU4MXpLGF7q0,Blu Jam Cafe,4.5,34.0837993,-118.3505473,2
Blue Cow Kitchen & Bar,16835083,2136212249,0,3,43,4.2,12136212249,%2B12136212249,81kXeyBt1AKiJC_HITT9KA,Blue Cow Kitchen & Bar,4,1252,$$,0,American (New),ChIJYT8yxkzGwoARL7iwKXjaJyM,Blue Cow,4.3,34.0514138,-118.2516387,2
Blue Dog Beer Tavern,16832560,8189902583,0,1,68,4.1,18189902583,%2B18189902583,c7VeXUcq6YN2FCJQUnOEeQ,Blue Dog Beer Tavern,4,1817,$$,0,Burgers,ChIJa2ehtOuXwoARYLGKSW75KB4,Blue Dog Beer Tavern,4.5,34.1519182,-118.4659741,2
Bobby's Coffee Shop,16808391,8182251324,0,1,19,3.9,18182251324,%2B18182251324,4VUaiITC5JayqSqHK5VavQ,Bobby's Coffee Shop,4,415,$$,pickup,Breakfast & Brunch,ChIJY87ZZIiewoARYsSC7qpkyYM,Bobby's Coffee Shop,4.6,34.166046,-118.6241461,1
Boneyard Bistro,16808439,8189067427,0,3,71,4,18189067427,%2B18189067427,DTEA43PAmaL6ff0FZU3fyQ,Boneyard Bistro,4,1259,$$,delivery,Barbeque,ChIJxeF8myiWwoAROUy9mv6arZg,Boneyard Bistro,4.5,34.147709,-118.428398,2
Border Grill,16833778,2134865171,0,4,67,4.5,12134865171,%2B12134865171,ZwkxpiHOvNuy83JgAfL6QQ,Border Grill Downtown LA,4,1012,$$,0,Mexican,ChIJBThFOLLHwoARNjyAigFqgvg,Border Grill,4.2,34.0526895,-118.2572766,2
Boulevard Burgers,16808481,8187036005,0,1,16,3.9,18187036005,%2B18187036005,n7RtmM36MA2toRi4MMvg4A,Boulevard Burgers,4.5,266,$,0,Burgers,ChIJfZXHJM-fwoARQIwZmPHz9Vw,Boulevard Burgers,4,34.1681393,-118.6014193,0
Brü Haus,16834501,3104732337,0,2,16,3.9,13104732337,%2B13104732337,fm7a-Qy4U2iKOHD0kdxOlg,BRÜ HAUS,3.5,458,$$,0,Gastropubs,ChIJpyzY8127woAR3_byPwQ0gy0,BRÜ HAUS,4.2,34.0477571,-118.4633799,2
Brandywine,16808498,8182259114,0,4,25,3.8,18182259114,%2B18182259114,VQaXYOfSt33RO6CNThIUjw,Brandywine,4.5,325,$$$$,0,French,ChIJE_Rtm4iewoARramy14DO0Qc,Brandywine,4.6,34.1665399,-118.6226983,3
Bread Lounge,16835552,2133270782,0,1,18,3.8,12133270782,%2B12133270782,bCynbdA4wd_uc9M5RefVmA,Bread Lounge,4.5,688,$$,0,Bakeries,ChIJ9WC65yHGwoARQN22YZVcCyk,Bread Lounge,4.7,34.0342842,-118.229816,2
Bricks and Scones,16833718,3234630811,0,1,17,3.9,13234630811,%2B13234630811,GgEAdWleZlfYu9lLud-wRA,Bricks & Scones,4,1308,$$,0,Desserts,ChIJz5mp7se4woAR9i02UC00nJo,Bricks and Scones,4.4,34.0776928,-118.3240548,2
