name,id,phone,reservations,price_range,review,rating,y_phone_key,g_phone_key,y_id_no,y_name,y_rating,y_review,y_price_range,y_reservations,y_category,g_place_id,g_name,g_rating,lat,lng,g_price_range,composite_score
David Burke Kitchen,16786168,2122019119,0,4,88,4,12122019119,%2B12122019119,Kbk_759zwP0Rk3SAXdrWHg,David Burke Kitchen,4,1121,$$$,0,American (New),ChIJN7srLvdZwokRqYFmBTiFiBc,Gitano Garden of Love,4,40.722911,-74.005916,0,3.93442623
Grom Gelato,16783964,2122061738,0,2,68,4.2,12122061738,%2B12122061738,8nL3qtKZLyNf6nSyKqcO0g,Grom,4,878,$$,0,Ice Cream & Frozen Yogurt,ChIJW1yHTJJZwokR_Gr936Bc1BA,Grom,4.4,40.730464,-74.0024412,2,4.131147541
Hector's Cafe & Diner,16767741,2122067592,0,2,5,3.3,12122067592,%2B12122067592,Tj9OMISQqqwlUAqr3Z3ATQ,Hector's Cafe-Restaurant,3,82,$$,0,Diners,ChIJfZw3R8BZwokRr6FJ2iNJX68,Hector's cafe diner,4,40.7402926,-74.008289,1,3.37704918
Le Zie,16770708,2122068686,0,4,80,4.1,12122068686,%2B12122068686,76y4aMBY0lT6zfJLy2EH-Q,Le Zie,3.5,297,$$,0,Italian,ChIJw5ZDfLtZwokRIq-gubtn53c,Le Zie Trattoria,4.5,40.74253,-73.997081,2,3.967213115
Laut,16782463,2122068989,0,3,69,4,12122068989,%2B12122068989,sinDhwX8Egru_3FCI7bhkw,Laut,3.5,1141,$$,0,Thai,ChIJv_vCZ6JZwokR_2lI72wJsl0,Laut,4.3,40.7376158,-73.9910302,2,3.868852459
Cafe China,16786830,2122132810,0,4,55,4.1,12122132810,%2B12122132810,xq0cX_DgxiJMXwhmEl9kUA,Café China,4,1470,$$,0,Szechuan,ChIJhXTKrQBZwokRDA7Vijnq1AE,Café China,4.3,40.7500611,-73.9821584,2,4.06557377
Waldy's Wood Fired Pizza & Penne,16780723,2122135042,0,2,120,4.3,12122135042,%2B12122135042,na-2_gQCY7ccS2ZkLJDumQ,Waldy's Wood Fired Pizza & Penne,4,787,$,0,Pizza,ChIJZzfElKVZwokRIem7YxXHhcw,Waldy's,4.4,40.745558,-73.990539,1,4.163934426
RH Rooftop Restaurant,18915336,2122172210,0,1,0,0,12122172210,%2B12122172210,8SehQovJOuQDLbtzLLYLyw,RH Rooftop Restaurant,4,186,0,0,American (Traditional),ChIJd9ob5aNZwokRUg0S8FKUo2o,Restoration Hardware,3.7,40.7402199,-74.0062426,0,2.524590164
Jungsik,16787041,2122190900,0,4,29,4.5,12122190900,%2B12122190900,fVsH6QIJPzXpVbgmeiolsA,Jungsik,4.5,548,$$$$,0,Korean,ChIJpSTN0R9awokRI29rK_SfbeA,Jungsik,4.6,40.7188267,-74.0090751,4,4.459016393
Antique Garage,16759513,2122191019,0,4,67,4,12122191019,%2B12122191019,oucUhaQjSEeJb2F3rVRR_Q,Antique Garage Soho,3.5,391,$$,0,Lounges,ChIJ99u7xItZwokRuPChc-s0AJk,Antique Garage,4.4,40.7215207,-74.0014298,2,3.901639344
