name,id,phone,reservations,price_range,review,rating,y_phone_key,g_phone_key,y_id_no,y_name,y_rating,y_review,y_price_range,y_reservations,y_category,g_place_id,g_name,g_rating,lat,lng,g_price_range
Belfast Love Public House,18336397,14163632223,0,3,11,3.5,14163632223,%2B14163632223,nRo8ZR3UO1Kt6XwIMbMy1w,Belfast Love Public House,3.5,96,$$,0,Irish Pub,ChIJ___Pvd40K4gRmTsHAIN-2jM,Belfast Love Public House,4.1,43.6448919,-79.398451,2
SPiN Toronto,8909453,14165997746,0,3,74,4.1,14165997746,%2B14165997746,Kal1hFMTEzdXYpa5MNzUPw,SPIN Toronto,4,131,$$,0,Cocktail Bars,ChIJ__QVOdk0K4gRM_dEhAgM-G4,SPIN Toronto,4.3,43.6444564,-79.3960911,2
Tropical Joe's,8908107,14164615030,0,1,19,3.8,14164615030,%2B14164615030,1BmnmQChZE8xGdhoGV-VNg,Tropical Joe's,4,59,$,0,Caribbean,ChIJ_22gMnnL1IkRCWLwnajmlfQ,Tropical Joes,4.7,43.6700658,-79.338837,1
Phipps Bakery Cafe,8909016,14164819111,0,1,32,3.7,14164819111,%2B14164819111,DiZPJEv35VOjdtJgU9gJTQ,Phipps Bakery Cafe,4,28,$$,0,Bakeries,ChIJ_9v_fhEzK4gRaZpw-cyw5pI,Phipps Bakery Cafe,4.5,43.7041778,-79.411118,2
Lee,8906641,14165047867,0,3,582,4.7,14165047867,%2B14165047867,snw9iNNLpFYZeHotW00uVA,Lee Restaurant,4,596,$$$,0,Asian Fusion,ChIJ_bdoUN40K4gRi4qwMVmMyBw,Lee,4.4,43.644133,-79.400392,3
Banaboia,8909070,14166540967,0,3,7,3.1,14166540967,%2B14166540967,tuztir4bxbKdJQ69PEtCMw,Banaboia Restaurant,3.5,10,$$,0,Portuguese,ChIJ_bvJmAE0K4gRade9oyIxdmo,Banaboia Restaurant,3.8,43.6819438,-79.4681943,2
Trattoria Fieramosca,18813190,14163230636,0,2,1,0,14163230636,%2B14163230636,OJ6zfenoK-eBNI7vvNrOsg,Fieramosca,4,92,$$$,0,Italian,ChIJ_cLCqrw0K4gRA5lETR2-Rlo,Trattoria Fieramosca,4.5,43.6695406,-79.3973027,3
Dundas Street Grille,8910259,14162396244,0,2,51,3.9,14162396244,%2B14162396244,jCA6s8HQfZqSKxH5pCOZWw,Dundas Street Grille,4,69,$$,0,Breakfast & Brunch,ChIJ_SigHr43K4gRzSTfhAUNApg,Dundas Street Grille,4.3,43.638935,-79.53826,1
Royal Meats Barbeque,8910036,14162511144,0,2,130,4.1,14162511144,%2B14162511144,McaRYgVwOCmtWkKxNsXlZg,Royal Meats Bar/Beque,3.5,109,$$,0,Bars,ChIJ_VD4MMU3K4gRL9W3mNXFmRs,Royal Meats BarBeque,4.3,43.6254577,-79.5292541,2
Milestones,8905876,14165982800,0,3,134,4,14165982800,%2B14165982800,4wtqTzXPPp_6vBfFQKiTGQ,Milestones Restaurants,2.5,207,$$,0,Canadian (New),ChIJ_wU50co0K4gR9xjs6thnRjI,Milestones,3.7,43.6567475,-79.3804815,2
St. Matthew's,8908793,14166584126,0,1,14,3.8,14166584126,%2B14166584126,6mUidMn4-TEj3_-LD3lsSQ,St. Matthew's BBQ Chicken,4.5,22,$,0,Portuguese,ChIJ_wZ-wAE0K4gRDHdDruPRerg,St Matthew's BBQ Chicken,4.6,43.6821096,-79.4690042,0
Purple Penguin Cafe,8911860,14164658448,0,1,39,3.9,14164658448,%2B14164658448,xHBSMycXDJJ3sB0IF6BJDw,Purple Penguin Cafe,4,62,$,0,Coffee & Tea,ChIJ_ZLyaXHL1IkRsvh-4OuVvQk,Purple Penguin Cafe,4.5,43.660464,-79.34232,0
Genghis Khan Mongolian Grill,8905757,14164498228,0,3,99,4.1,14164498228,%2B14164498228,Z4MvEVylnZPW_vddQc2Ihg,Genghis Khan Mongolian Grill,3.5,120,$$,0,Mongolian,ChIJ-_goiwvN1IkRB-J85LH0DNo,Genghis Khan Mongolian Grill,4.2,43.7269871,-79.3414943,2
Congee Star,8905728,14163858822,0,2,61,3.9,14163858822,%2B14163858822,6z-T_jIFrRQ4c6-BIvVBvA,Congee Star,3,91,$$,0,Chinese,ChIJ-_goiwvN1IkRe13JbTnnF4I,Congee Star,3.6,43.7266998,-79.3419761,1
Memories of Japan,8905771,14164493773,0,2,90,3.6,14164493773,%2B14164493773,TI2G5IvWqNWIEEMZAo4iWw,Memories of Japan,2,140,$$,0,Japanese,ChIJ-_goiwvN1IkRLY6OAbzars4,Memories of Japan,3.3,43.7272245,-79.3414984,2
Queen Margherita Pizza,8906102,14164666555,0,3,277,4.2,14164666555,%2B14164666555,cepfJZIv0iLj1fDs8LdYZg,Queen Margherita Pizza,3.5,166,$$,0,Pizza,ChIJ-3XJfYXL1IkR8KYXgoPLI4A,Queen Margherita Pizza,4.4,43.6647558,-79.3242952,2
Red Rocket Coffee,8907788,14164060880,0,1,53,4.3,14164060880,%2B14164060880,p-Gnw4l-7436mtet4ojVlA,Red Rocket Coffee,4,81,$,0,Desserts,ChIJ-3XJfYXL1IkRTpeSKlE01-E,Red Rocket Coffee,4.6,43.6824521,-79.3284706,1
Wakame Sushi,8900841,14166310505,0,2,117,4.2,14166310505,%2B14166310505,m9I_bnvcXpNrwAx6oViZng,Wakame Sushi,3,97,$$,0,Japanese,ChIJ-87NvnYyK4gRh7X574jqVNQ,Wakame Sushi-Sheppard Bathurst,3.7,43.7554612,-79.4409696,2
Burger King,8906225,14166867191,0,1,6,3.2,14166867191,%2B14166867191,6ugDF5tRRX5l3Q5vrdkprg,Burger King,1.5,4,$,0,Fast Food,ChIJ-8BlKJ7O1IkR9_fq5PqG24o,Burger King,3.3,43.6908478,-79.2885366,1
Morgan's On The Danforth,8908136,14164613020,0,3,63,4.2,14164613020,%2B14164613020,NT_jvYrU2aCw5iymUbyBrA,Morgan's On the Danforth,4,81,$$,0,Pubs,ChIJ-9x1rXzM1IkRB-8EK1WmaTo,Morgans On The Danforth,4.5,43.682065,-79.330303,2
Dino's,8901194,14162590050,0,2,97,4,14162590050,%2B14162590050,wuYKpHyjIfyvMR9YlwHn6Q,Dino's Wood Burning Pizza,4,80,$$,0,Pizza,ChIJ-c65oTE2K4gRijuHFWwZju0,Dino's Wood Burning Pizza,4.5,43.6252431,-79.5082823,2
McDonald's,8903683,14165979502,0,1,25,3.4,14165979502,%2B14165979502,W6zJtBokhnJvpHlZbROBBQ,McDonald's,3,15,$,0,Burgers,ChIJ-c8WrDTL1IkR3zK0Zzy6Y4Y,McDonald's,3.6,43.654668,-79.3810305,1
Yuzu No Hana,8905653,14162059808,0,4,239,4.5,14162059808,%2B14162059808,zA6gnF5aPBGoOm6uIbKt-A,Yuzu No Hana,4,517,$$$,restaurant_reservation,Sushi Bars,ChIJ-e2VttE0K4gR9qSbe6Tct04,Yuzu No Hana,4.2,43.648418,-79.388343,3
R&D,16539752,14165861241,0,4,67,3.9,14165861241,%2B14165861241,e178giuAicIhb16ymOtiBg,R&D Restaurant,3.5,238,$$$,0,Asian Fusion,ChIJ-QiloMQ0K4gRh8RG0fb9Jt4,R&D,4.3,43.6515943,-79.3972048,2
241 Pizza,8907723,14162410241,0,2,3,3.2,14162410241,%2B14162410241,5PaCXc5dW2im69n-ByZ1FQ,241 Pizza,3.5,6,$,0,Pizza,ChIJ-V8Wd4lDK4gR-BgAAlyplzI,241 Pizza,3.9,43.5262759,-79.6523223,1
Saffron Spice Kitchen,8904696,14162030222,0,2,44,3.6,14162030222,%2B14162030222,C9QVknXuoDBdR9CBa_Flyw,Saffron Spice Kitchen,4,111,$,0,Indian,ChIJ-xb0fds0K4gRHtROVpZfLgY,Saffron Spice Kitchen,4.3,43.6484033,-79.3972213,1
Athens Restaurant & Tavern,8907401,14164654441,0,2,30,3.8,14164654441,%2B14164654441,OmZ_Ub_0egPc6eDPD1OWSw,Athens Restaurant,4,76,$$,0,Greek,ChIJ-xhMfITM1IkRp8LKyEEFAQs,Athens Restaurant,4.6,43.6789643,-79.3434695,2
La Veranda Osteria,8911523,14162313800,0,2,87,3.7,14162313800,%2B14162313800,mA3kz245czbdqAyJMg9BsQ,La Veranda Osteria,3,44,$$,0,Italian,ChIJ-xHWbVQ2K4gRrpB41N0qoss,La Veranda Osteria,4.2,43.6477149,-79.511729,2
Hunter's,8900166,14162916340,0,2,64,4,14162916340,%2B14162916340,Eji0iZbtX5cU5-VtXkttQg,Hunter's Pizza,4,69,$$,0,Pizza,ChIJ-ytlFs7T1IkROnYqYkMfYZI,Hunter's Family Restaurant,4.3,43.7895721,-79.3026251,1
Luci Restaurant,8900909,14165191355,0,3,65,3.9,14165191355,%2B14165191355,9Jn6MJZMz2R6rcszqmXDqg,Luci Restaurant,4,47,$$$,0,Italian,ChIJ-zlXsj42K4gR68s0EhPWEn0,Luci Restaurant,4.6,43.6275231,-79.4982703,2
King's Café,8908267,14165911340,0,2,110,4.3,14165911340,%2B14165911340,VvSmE1NnTjnaTPHT0WrCaQ,King's Café,4,133,$$,0,Chinese,ChIJ0_98bsI0K4gRtBL03UmwK0Q,King's Café,4.5,43.6542507,-79.402061,2
The Keg,8907935,14164844646,0,4,81,4,14164844646,%2B14164844646,cicPsia8Wj-DNRkmLbD_xg,The Keg Steakhouse + Bar,3.5,90,$$$,0,Steakhouses,ChIJ0_pehTwzK4gRnFmXFt3vBV0,The Keg Steakhouse + Bar - Yonge & Eglinton,4.4,43.7056863,-79.3978836,3
Scaddabush,18352952,14162969697,0,1,19,3.6,14162969697,%2B14162969697,FfF8XGFf8_BSlWSjIgqeQg,Scaddabush Italian Kitchen & Bar,3,165,$$,0,Italian,ChIJ07OkXKjR1IkRvW0QZp4iyLI,SCADDABUSH,4,43.7776105,-79.254269,2
Cinamon Indian Bistro,8908660,14165194534,0,2,59,3.9,14165194534,%2B14165194534,NVQt8iaP4wjtUSHBvIxIXw,Cinamon Indian Bistro,4,65,$$,0,Indian,ChIJ0atR-ffL1IkRSYDWXH4Jnzo,Cinamon Indian Bistro,4.5,43.6698051,-79.3018215,2
Udupi Palace,8907900,14164058189,0,2,135,4.1,14164058189,%2B14164058189,A-KVm7iKLOe1X1yAQP13FA,Udupi Palace,3.5,181,$$,0,Indian,ChIJ0cfnMnbM1IkRoQFWGGL9j7I,Udupi Palace,3.9,43.672609,-79.3211209,1
Little Sister,8907231,14164882031,0,2,118,4.2,14164882031,%2B14164882031,kiBOT50alvcwdwUk6Wc1Rw,Bar Batavia,4.5,10,0,0,Cocktail Bars,ChIJ0eqGSjkzK4gR1AE3nhVUZWk,Bar Batavia,4.6,43.701568,-79.397075,2
